Type of incident,Year,Date occurred,Region,Province,City_Municipality,Affected_Brgys,Affected_FAM,Affected_PERs,Evacuation (Cummulative),Evacuation (Now),"INSIDE_ECs_FAM
(Cummulative)","INSIDE_ECs_FAM
(Now)","INSIDE_ECs_PERs
(Cummulative)","INSIDE_ECs_PERs
(Now)","OUTSIDE_ECs_FAM
(Cummulative)","OUTSIDE_ECs_FAM
(Now)","OUTSIDE_ECs_PERs
(Cummulative)","OUTSIDE_ECs_PERs
(Now)",Destroyed houses,Partially damaged houses,Total,Region Code,Province Code,City_Municipality Code
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",Caloocan City,0,51,210,0,0,0,0,0,0,51,51,210,210,0,0,0,PH130000000,PH137500000,PH137501000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",Makati City,0,20,78,0,0,0,0,0,0,20,20,78,78,0,0,0,PH130000000,PH137600000,PH137602000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",Malabon City,0,32,141,0,0,0,0,0,0,32,32,141,141,0,0,0,PH130000000,PH137500000,PH137502000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",Mandaluyong City,0,72,273,0,0,0,0,0,0,72,72,273,273,0,0,0,PH130000000,PH137400000,PH137401000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",Manila City,0,213,827,0,0,0,0,0,0,210,210,814,814,0,0,0,PH130000000,PH133900000,PH133900000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",Marikina City,0,1,5,0,0,0,0,0,0,1,1,5,5,0,0,0,PH130000000,PH137400000,PH137402000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",Muntinlupa City,0,367,1406,0,0,0,0,0,0,367,367,1406,1406,0,0,0,PH130000000,PH137600000,PH137603000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",Navotas,0,12,48,0,0,0,0,0,0,12,12,48,48,0,0,0,PH130000000,PH137500000,PH137503000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",Paranaque City,0,123,446,0,0,0,0,0,0,123,123,446,446,0,0,0,PH130000000,PH137600000,PH137604000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",Taguig City,0,590,2257,0,0,0,0,0,0,590,590,2257,2257,0,0,0,PH130000000,PH137600000,PH137607000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",Quezon City,0,66,281,0,0,0,0,0,0,61,61,262,262,0,0,0,PH130000000,PH137400000,PH137404000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",San Juan City,0,17,56,0,0,0,0,0,0,17,17,56,56,0,0,0,PH130000000,PH137400000,PH137405000
